No,Student ID,Mid Term,End Term,Lab,Extra
1,18127057,1,10,1,1
2,18127058,2,1,2,2
3,18127059,5,2,9,3
4,18127061,6,5,7,1
5,18127064,1,7,5,1
6,18127077,6,4,3,0
7,18127081,3,2,6,0
8,18127096,5,4,8,1
9,18127102,7,2,4,2
10,18127104,4,5,6,2
11,18127108,2,7,7,1
12,18127122,1,5,3,1
13,18127123,3,3,5,1
14,18127127,6,5,7,0
15,18127129,7,2,2,2
16,18127150,4,4,4,2
17,18127152,3,6,5,3
18,18127160,5,9,2,0
19,18127163,7,1,4,0
20,18127166,4,3,6,1
21,18127174,3,5,8,2
22,18127178,7,7,4,3
23,18127181,8,3,6,1
24,18127182,1,2,3,2
25,18127191,3,4,5,2
26,18127201,4,6,7,1
27,18127203,6,8,8,3
28,18127205,7,9,4,2
29,18127210,3,6,7,2
30,18127214,5,0,2,3
31,18127220,10,1,4,1
32,18127222,3,2,7,0
33,18127224,1,3,2,0
34,18127239,5,5,4,1
35,18127243,7,6,9,2
36,18127249,8,7,10,1
37,18127253,4,3,1,0
38,18127258,2,5,2,2
