No,Student ID,Mid Term,End Term,Lab,Extra
1,18127065,1,1,1,1
2,18127066,2,2,2,2
3,18127070,3,3,9,3
4,18127073,5,1,7,1
5,18127074,3,3,5,1
6,18127078,1,5,3,0
7,18127093,2,7,6,0
8,18127094,3,8,8,1
9,18127109,5,9,4,2
10,18127110,1,9,6,2
11,18127111,2,7,7,1
12,18127130,4,8,3,1
13,18127131,6,9,5,1
14,18127139,8,8,7,0
15,18127140,4,9,2,2
16,18127141,5,9,4,2
17,18127142,5,8,5,3
18,18127143,7,9,2,0
19,18127147,3,7,4,0
20,18127148,3,8,6,1
21,18127153,5,9,8,2
22,18127168,3,6,4,3
23,18127169,2,5,6,1
24,18127176,3,5,3,2
25,18127177,3,7,5,2
26,18127183,1,4,7,1
27,18127186,3,5,8,3
28,18127188,5,6,4,2
29,18127192,6,3,7,2
30,18127204,8,7,2,3
31,18127215,4,4,4,1
32,18127216,6,5,7,0
33,18127217,2,2,2,0
34,18127234,3,4,4,1
35,18127238,4,5,9,2
36,18127247,6,7,10,1
37,18127257,3,8,1,0
38,18127264,54,9,2,2
