No,Student ID,Mid Term,End Term,Lab,Extra
1,18127019,1,10,1,1
2,18127020,2,1,2,2
3,18127021,5,2,9,3
4,18127022,6,5,7,1
5,18127037,1,7,5,1
6,18127039,6,4,3,0
7,18127040,3,2,6,0
8,18127041,5,4,8,1
9,18127042,7,2,4,2
10,18127044,4,5,6,2
11,18127046,2,7,7,1
12,18127047,1,5,3,1
13,18127051,3,3,5,1
14,18127053,6,5,7,0
15,18127054,7,2,2,2
16,18127055,4,4,4,2
17,18127056,3,6,5,3
18,18127060,5,9,2,0
19,18127069,7,1,4,0
20,18127100,4,3,6,1
21,18127113,3,5,8,2
22,18127117,7,7,4,3
23,18127120,8,3,6,1
24,18127144,1,2,3,2
25,18127145,3,4,5,2
26,18127154,4,6,7,1
27,18127155,6,8,8,3
28,18127184,7,9,4,2
29,18127194,3,6,7,2
30,18127206,5,0,2,3
31,18127218,10,1,4,1
32,18127225,3,2,7,0
33,18127248,1,3,2,0
34,18127255,5,5,4,1
35,18127260,7,6,9,2
36,18127261,8,7,10,1
37,18127266,4,3,1,0
38,18127271,2,5,2,2
