No,Student ID,Mid Term,End Term,Lab,Extra
1,18127001,10,10,9,0
2,18127002,5,2,6,2
3,18127003,3,5,8,1
4,18127004,2,7,4,2
5,18127005,5,4,6,2
6,18127006,7,1,3,0
7,18127007,9,4,7,1
8,18127008,6,6,8,0
9,18127010,7,7,4,2
10,18127011,4,8,1,0
11,18127014,6,4,4,2
12,18127016,8,7,6,1
13,18127017,10,8,5,0
14,18127027,8,5,4,2
15,18127029,7,2,4,2
16,18127030,6,9,5,0
17,18127072,8,1,5,1
18,18127079,5,6,5,1
19,18127092,3,4,6,1
20,18127095,9,9,3,2
21,18127098,6,5,4,1
22,18127099,2,4,7,2
23,18127118,9,7,8,0
24,18127136,8,5,5,1
25,18127202,8,7,4,1
26,18127208,9,6,7,2
27,18127223,7,6,9,1
28,18127226,7,4,5,2
29,18127236,5,7,4,2
30,18127242,7,8,3,1
31,18127246,9,8,7,2
32,18127259,6,1,8,1
33,18127262,7,5,5,2
34,18127263,6,4,2,2
35,18127265,5,7,1,1
36,18127267,5,8,5,2
37,18127268,6,2,6,1
38,18127269,7,6,8,1
