No,Student ID,Mid Term,End Term,Lab,Extra
1,18127019,1,1,1,1
2,18127020,2,2,2,2
3,18127021,3,3,9,3
4,18127022,5,1,7,1
5,18127037,3,3,5,1
6,18127039,1,5,3,0
7,18127040,2,7,6,0
8,18127041,3,8,8,1
9,18127042,5,9,4,2
10,18127044,1,9,6,2
11,18127046,2,7,7,1
12,18127047,4,8,3,1
13,18127051,6,9,5,1
14,18127053,8,8,7,0
15,18127054,4,9,2,2
16,18127055,5,9,4,2
17,18127056,5,8,5,3
18,18127060,7,9,2,0
19,18127069,3,7,4,0
20,18127100,3,8,6,1
21,18127113,5,9,8,2
22,18127117,3,6,4,3
23,18127120,2,5,6,1
24,18127144,3,5,3,2
25,18127145,3,7,5,2
26,18127154,1,4,7,1
27,18127155,3,5,8,3
28,18127184,5,6,4,2
29,18127194,6,3,7,2
30,18127206,8,7,2,3
31,18127218,4,4,4,1
32,18127225,6,5,7,0
33,18127248,2,2,2,0
34,18127255,3,4,4,1
35,18127260,4,5,9,2
36,18127261,6,7,10,1
37,18127266,3,8,1,0
38,18127271,54,9,2,2
