No,Student ID,Mid Term,End Term,Lab,Extra
1,18127138,10,10,9,0
2,18127115,5,2,6,2
3,18127119,3,5,8,1
4,18127137,2,7,4,2
5,18127219,5,4,6,2
6,18127241,7,1,3,0
7,18127121,9,4,7,1
8,18127270,6,6,8,0
9,18127213,7,7,4,2
10,18127212,4,8,1,0
11,18127091,6,4,4,2
12,18127230,8,7,6,1
13,18127135,10,8,5,0
14,18127227,8,5,4,2
15,18127090,7,2,4,2
16,18127232,6,9,5,0
17,18127159,8,1,5,1
18,18127107,5,6,5,1
19,18127165,3,4,6,1
20,18127156,9,9,3,2
21,18127114,6,5,4,1
22,18127250,2,4,7,2
23,18127076,9,7,8,0
24,18127086,8,5,5,1
25,18127199,8,7,4,1
26,18127158,9,6,7,2
27,18127128,7,6,9,1
28,18127198,7,4,5,2
29,18127085,5,7,4,2
30,18127245,7,8,3,1
31,18127229,9,8,7,2
32,18127211,6,1,8,1
33,18127089,7,5,5,2
34,18127162,6,4,2,2
35,18127134,5,7,1,1
36,18127190,5,8,5,2
37,18127180,6,2,6,1
38,18127063,7,6,8,1
