No,Student ID,Mid Term,End Term,Lab,Extra
1,18127001,1,10,1,1
2,18127002,2,1,2,2
3,18127003,5,2,9,3
4,18127004,6,5,7,1
5,18127005,1,7,5,1
6,18127006,6,4,3,0
7,18127007,3,2,6,0
8,18127008,5,4,8,1
9,18127010,7,2,4,2
10,18127011,4,5,6,2
11,18127014,2,7,7,1
12,18127016,1,5,3,1
13,18127017,3,3,5,1
14,18127027,6,5,7,0
15,18127029,7,2,2,2
16,18127030,4,4,4,2
17,18127072,3,6,5,3
18,18127079,5,9,2,0
19,18127092,7,1,4,0
20,18127095,4,3,6,1
21,18127098,3,5,8,2
22,18127099,7,7,4,3
23,18127118,8,3,6,1
24,18127136,1,2,3,2
25,18127202,3,4,5,2
26,18127208,4,6,7,1
27,18127223,6,8,8,3
28,18127226,7,9,4,2
29,18127236,3,6,7,2
30,18127242,5,0,2,3
31,18127246,10,1,4,1
32,18127259,3,2,7,0
33,18127262,1,3,2,0
34,18127263,5,5,4,1
35,18127265,7,6,9,2
36,18127267,8,7,10,1
37,18127268,4,3,1,0
38,18127269,2,5,2,2
